"label","alpha","color","shape","size","x","y"
"Consumer Discretionary",1,"grey75",19,7,0.353759970078198,0.711172828951219
"Consumer Staples",1,"grey75",19,4,0.702766293243092,0.786602652188838
"Energy",1,"grey75",19,2,0.93220735807889,0.306621287517668
"Financials",1,"grey75",19,3,0.615925654911077,1
"Health Care",1,"grey75",19,5,0.466446666796053,0.886473572541657
"Industrials",1,"grey75",19,3,0.337383172216344,0.324421442870061
"Information Technology",1,"grey75",19,5,0.470528245039941,0.537462138371312
"Materials",1,"grey75",19,7,0.65173065684305,0.579206293706175
"Telecom",1,"grey75",19,1,0,0.714174293088179
"Utilities",1,"grey75",19,1,1,0
